area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,18-Apr,Doddaballapur,1 BHK,Unknown,654.0,1.0,1.0,49.0
Built-up  Area,Ready To Move,Domlur,3 BHK,Prandm ,1650.0,3.0,1.0,180.0
Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,Prleaou,2490.0,4.5,0.0,225.0
Super built-up  Area,Ready To Move,Vinayak Nagar,2 BHK,SLayaer,1300.0,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950.0,2.0,1.0,60.0
Super built-up  Area,18-May,Silk Board,3 BHK,Unknown,1250.0,3.0,2.0,54.0
Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,Siuntar,1425.0,2.0,2.0,65.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sencys ,1165.0,1.0,0.0,42.09
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Unknown,1390.0,2.0,2.0,69.49
Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Rahidhi,1510.0,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,G conTh,1305.0,2.0,2.0,90.0
Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,Unknown,1200.0,4.5,2.0,170.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Vitat H,866.0,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1231.0,2.0,1.0,84.5
Super built-up  Area,Ready To Move,Sompura,3 BHK,Unknown,1360.0,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1140.0,2.0,3.0,55.0
Super built-up  Area,19-Sep,Whitefield,2 BHK,Unknown,1295.0,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Unknown,1020.0,2.0,2.0,45.75
Plot  Area,Ready To Move,Sidedahalli,2 Bedroom,Unknown,1200.0,1.0,0.0,50.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSestil,1100.0,2.0,1.0,41.0
Plot  Area,19-Dec,Bannerghatta Road,4 Bedroom,Putere ,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,820.0,2.0,2.0,37.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Prldsum,2490.0,4.0,1.0,225.0
Plot  Area,Ready To Move,Versova Layout,4 Bedroom,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Ajresre,1354.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Basavangudi,4 BHK,Bousey ,2453.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,Unknown,1154.0,2.0,1.0,51.8
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Unknown,1680.0,2.0,3.0,92.0
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1205.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Unknown,1400.0,2.0,2.0,86.0
Carpet  Area,Ready To Move,Doopanahalli,3 BHK,VancyRe,1625.0,3.0,1.0,150.0
Built-up  Area,Ready To Move,Electronic City,3 Bedroom,Unknown,1500.0,3.0,1.0,73.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1520.0,2.0,3.0,80.0
Built-up  Area,Ready To Move,3rd Stage Raja Rajeshwari Nagar,2 BHK,Unknown,1300.0,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1150.0,2.0,2.0,47.0
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,109.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,LedorSa,2490.0,4.0,1.0,223.0
Super built-up  Area,Ready To Move,Sompura,3 BHK,SSityri,1350.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Raony C,950.0,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Leero C,2490.0,3.0,3.0,225.0
Super built-up  Area,Ready To Move,Coconut Grove Layout,3 BHK,Keleti ,1515.0,3.0,3.0,80.5
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,Vincy R,1100.0,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Byrasandra,2 BHK,Unknown,1250.0,2.0,2.0,65.0
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,Unknown,1200.0,2.0,0.0,120.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,7 BHK,Unknown,2490.0,4.5,3.0,95.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,Unknown,1200.0,4.0,2.0,100.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1355.0,2.0,2.0,51.5
Super built-up  Area,18-May,Dominic Layout,3 BHK,Unknown,1115.0,3.0,1.0,39.14
Super built-up  Area,18-Apr,8th Phase JP Nagar,3 BHK,Unknown,1275.0,3.0,2.0,45.0
Super built-up  Area,19-Sep,Padmanabhanagar,3 BHK,SollyCl,2051.0,3.0,2.0,170.0
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,MRsicla,1470.0,2.0,2.0,99.0
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,VaantPl,1550.0,2.0,3.0,70.0
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1270.0,2.0,1.0,73.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1600.0,3.0,3.0,170.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,ACiteda,1320.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,2490.0,3.0,2.0,165.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DNlleks,1200.0,2.0,3.0,70.0
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,Unknown,1705.0,2.0,1.0,86.96
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,995.0,2.0,1.0,48.0
Built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Unknown,1081.0,2.0,1.0,52.0
Super built-up  Area,18-Dec,Sonnenahalli,1 BHK,Skacak ,605.0,1.0,1.0,30.24
Built-up  Area,Ready To Move,Yelahanka,1 BHK,Ardanru,567.0,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Unknown,1718.0,3.0,2.0,225.0
Super built-up  Area,20-Dec,Banashankari Stage VI,3 BHK,Brens7 ,1275.0,2.0,0.0,70.385
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 Bedroom,Unknown,600.0,4.5,1.0,135.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715.0,3.0,2.0,105.0
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,Unknown,2490.0,4.5,2.0,225.0
Plot  Area,Ready To Move,Kundalahalli,4 Bedroom,Roima A,1500.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1846.0,3.0,2.0,120.0
Plot  Area,Ready To Move,Coconut Garden,3 Bedroom,Unknown,600.0,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,AHodsWo,1015.0,2.0,3.0,56.0
Plot  Area,Ready To Move,Dollars Colony,4 Bedroom,Unknown,2490.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1965.0,4.0,2.0,125.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,Unknown,1021.0,2.0,2.0,45.9
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1230.0,2.0,1.0,67.65
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1260.0,2.0,2.0,55.0
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,Unknown,2400.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1894.0,4.0,1.0,114.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,Unknown,1500.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1231.0,2.0,3.0,66.0
Built-up  Area,Ready To Move,R.T. Nagar,4 BHK,Unknown,1800.0,3.0,0.0,120.0
Super built-up  Area,Ready To Move,KAMAKIYA,3 BHK,Unknown,1650.0,3.0,2.0,135.0
Plot  Area,Ready To Move,Kirloskar Layout,5 Bedroom,Unknown,750.0,3.0,1.0,88.0
Super built-up  Area,Ready To Move,Begur,3 BHK,Arera V,1443.0,2.0,2.0,70.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Unknown,886.0,4.0,2.0,120.0
Super built-up  Area,Ready To Move,Wheelers Road,2 BHK,Unknown,925.0,2.0,1.0,68.0
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1305.0,3.0,1.0,33.28
Super built-up  Area,Ready To Move,Alfa Garden Layout,2 BHK,Unknown,1190.0,2.0,2.0,46.41
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1284.0,2.0,2.0,53.36
Plot  Area,Ready To Move,MM Layout,4 Bedroom,Unknown,350.0,3.0,1.0,45.0
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,Unknown,875.0,3.0,1.0,115.0
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Unknown,1325.0,2.0,1.0,59.0
Plot  Area,Ready To Move,Sector 6 HSR Layout,6 Bedroom,Unknown,2400.0,4.5,2.0,225.0
Super built-up  Area,18-Jun,Kudlu Gate,2 BHK,Sanzaat,1183.0,2.0,1.0,79.54
Built-up  Area,Ready To Move,Rajiv Gandhi Nagar,3 BHK,Almid P,1750.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Nagashetty Halli,4 BHK,Unknown,2490.0,4.0,2.0,149.0
Super built-up  Area,Ready To Move,Doddagubbi,1 BHK,Unknown,747.0,1.0,2.0,27.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1342.0,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Devarabeesana Halli,3 BHK,Thionav,1738.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1206.0,2.0,2.0,90.0
Super built-up  Area,19-Mar,Hebbal,4 BHK,Raard B,2490.0,4.0,3.0,198.0
Super built-up  Area,18-Mar,Hebbal,2 BHK,Unknown,1162.0,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Unknown,1194.0,2.0,2.0,46.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1857.0,4.0,3.0,155.0
Built-up  Area,Ready To Move,Kattigenahalli,6 Bedroom,Unknown,2490.0,4.5,2.0,115.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1150.0,2.0,1.0,45.99
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,V2avei ,1290.0,2.0,2.0,72.0
Built-up  Area,Ready To Move,Thubarahalli,4 BHK,VincyRe,2490.0,4.5,2.0,145.0
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,Unknown,900.0,2.0,1.0,145.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Unknown,1150.0,2.0,0.0,70.0
Plot  Area,Ready To Move,Banashankari,3 Bedroom,Unknown,1040.0,2.0,1.0,109.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1160.0,2.0,2.0,64.08
Super built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Unknown,900.0,2.0,2.0,27.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,NVanat ,1750.0,3.0,1.0,185.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2240.0,4.0,2.0,160.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shaceop,891.0,2.0,1.0,26.0
Plot  Area,Ready To Move,Udaya Nagar,5 Bedroom,Unknown,1000.0,4.0,3.0,80.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Siissi ,1323.0,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,67.5
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Unknown,1370.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1385.0,2.0,2.0,48.48
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,1129.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Mahalakshmi Layout,3 BHK,Asmosz ,1876.0,3.0,1.0,150.0
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Soosea ,1720.0,3.0,1.0,95.0
Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,Unknown,1200.0,4.0,1.0,80.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,86.68
Super built-up  Area,Ready To Move,Nagawara Junction,1 BHK,Unknown,500.0,1.0,2.0,51.0
Plot  Area,Ready To Move,Dasappa Layout,5 Bedroom,Unknown,1200.0,4.5,2.0,85.0
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Unknown,1200.0,1.0,0.0,225.0
Super built-up  Area,19-Jan,Hosa Road,3 BHK,Sosisic,1893.0,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1430.0,3.0,2.0,52.0
Built-up  Area,Ready To Move,Green View Layout,2 BHK,DSeme S,850.0,2.0,2.0,45.0
Super built-up  Area,17-Mar,CV Raman Nagar,2 BHK,Pu270a ,1392.0,2.0,1.0,110.0
Super built-up  Area,21-Mar,Kanakpura Road,3 BHK,GolusLi,1938.0,3.0,3.0,105.0
Super built-up  Area,18-Oct,Chennammanakere Achukattu,2 BHK,Unknown,1020.0,2.0,2.0,52.0
Plot  Area,Ready To Move,"beml layout, basaveshwara nagar",3 Bedroom,Unknown,2400.0,2.0,1.0,225.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1832.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,Unknown,1423.0,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1432.0,2.0,1.0,85.0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,Unknown,1350.0,4.0,3.0,225.0
Plot  Area,Ready To Move,BTM 2nd Stage,8 Bedroom,Unknown,1500.0,4.5,0.0,225.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Unknown,1480.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843.0,3.0,2.0,96.2
Plot  Area,Ready To Move,Lingarajapuram,3 Bedroom,Unknown,760.0,4.0,2.0,95.0
Super built-up  Area,18-Dec,Hulimavu,3 BHK,NiarkHy,1916.0,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,Unknown,1160.0,2.0,2.0,44.08
Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Brica E,2490.0,2.0,1.0,170.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Maoseer,1160.0,2.0,3.0,53.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200.0,2.0,1.0,80.0
Carpet  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,1500.0,3.0,3.0,100.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,MJtroty,1336.0,2.0,3.0,50.35
Built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1065.0,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294.0,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550.0,3.0,2.0,68.5
Super built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,Unknown,1005.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1430.0,2.0,1.0,102.0
Super built-up  Area,18-Dec,Frazer Town,4 BHK,Emsisy ,2490.0,4.0,3.0,225.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1660.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430.0,2.0,3.0,56.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,DSreerk,1470.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045.0,2.0,1.0,76.77
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,1275.0,4.5,0.0,225.0
Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950.0,2.0,0.0,30.0
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1382.0,3.0,1.0,65.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Unknown,930.0,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Vijinapura,2 BHK,Vadidpl,1290.0,2.0,2.0,71.95
Built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1010.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Brookefield,4 BHK,Sringlv,2490.0,4.0,2.0,130.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Adxira ,1200.0,2.0,2.0,71.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,Unknown,1650.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636.0,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,56.55
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2087.01,4.0,2.0,160.0
Super built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MancyRe,1200.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844.0,3.0,1.0,89.0
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Sosisic,1275.0,3.0,1.0,110.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1215.0,2.0,1.0,43.75
Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,Unknown,1194.0,2.0,1.0,57.0
Built-up  Area,Ready To Move,Chennappa Layout,2 BHK,VaireSo,1220.0,2.0,2.0,52.0
Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,Unknown,2490.0,4.0,2.0,150.0
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955.0,2.0,1.0,37.97
Built-up  Area,Ready To Move,Kadugondanahalli,5 Bedroom,Unknown,2000.0,4.5,2.0,75.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,884.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Kathriguppe,2 BHK,Unknown,1250.0,2.0,1.0,68.75
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,2 BHK,Unknown,2490.0,2.0,1.0,135.0
Plot  Area,Ready To Move,Dodda Nekkundi,3 Bedroom,FetatHa,2400.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Harlur,4 BHK,Shodsir,2490.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Sadhguru Layout,1 BHK,Unknown,2490.0,1.0,1.0,55.0
Built-up  Area,18-Mar,Begur,2 BHK,Unknown,1200.0,2.0,1.0,33.0
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984.0,2.0,1.0,45.75
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,TCncyn ,1089.0,2.0,1.0,40.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Orens G,1165.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Chandapura,1 BHK,Unknown,410.0,1.0,1.0,10.0
Super built-up  Area,18-Dec,Hennur,3 BHK,Puveshe,1482.0,3.0,1.0,110.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,Unknown,1200.0,2.0,1.0,68.0
Super built-up  Area,18-Apr,Hormavu,3 BHK,Unknown,1166.0,2.0,2.0,34.97
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1275.0,2.0,2.0,55.46
Super built-up  Area,Ready To Move,Mico Layout,2 BHK,Inasy E,1140.0,2.0,2.0,43.0
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,2490.0,4.5,1.0,225.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,1 BHK,Raood R,720.0,1.0,2.0,28.0
Built-up  Area,Ready To Move,Richards Town,2 BHK,Alnorrm,1100.0,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,Unknown,1162.0,2.0,2.0,98.77
Built-up  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,Unknown,540.0,1.0,0.0,35.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550.0,2.0,2.0,73.5
Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,Unknown,1300.0,3.0,2.0,145.0
Plot  Area,Ready To Move,Ullal Road,5 Bedroom,Unknown,1200.0,4.5,1.0,130.0
Super built-up  Area,Ready To Move,Chikbasavanapura,2 BHK,SatonLi,1220.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Unknown,964.0,2.0,1.0,62.0
Built-up  Area,21-Dec,"Electronic City Phase 1, ",3 BHK,Unknown,1500.0,3.0,2.0,50.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSlesSp,1347.0,2.0,1.0,44.0
Super built-up  Area,Ready To Move,"JP Nagar 8th Phase, ",4 BHK,Unknown,2490.0,4.5,2.0,225.0
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,Unknown,2490.0,4.0,2.0,140.0
Super built-up  Area,18-Jun,Bannerghatta,2 BHK,Unknown,1120.0,2.0,1.0,42.5
Super built-up  Area,Ready To Move,Lake City,1 BHK,Prdenth,600.0,1.0,1.0,22.8
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321.0,4.0,1.0,157.0
Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,1 BHK,Prineth,540.0,1.0,2.0,24.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Unknown,1150.0,2.0,1.0,57.0
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Skacak ,1484.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1680.0,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,Unknown,620.0,2.0,1.0,23.0
Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,Unknown,1650.0,3.0,2.0,78.0
Super built-up  Area,18-Apr,Chuchangatta Colony,3 BHK,Unknown,1250.0,3.0,2.0,44.0
Super built-up  Area,18-Aug,Hanuman Nagar,3 BHK,Unknown,2072.0,3.0,2.0,108.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1105.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Invenai,1200.0,2.0,2.0,60.5
Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,Unknown,2490.0,4.5,3.0,145.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550.0,2.0,1.0,16.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Unknown,1340.0,2.0,2.0,53.6
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409.0,3.0,3.0,225.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1246.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,Old Airport Road,2 BHK,Canoroy,1055.0,2.0,3.0,75.0
Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541.0,3.0,1.0,69.61
Built-up  Area,Ready To Move,Harlur,2 BHK,Unknown,1370.0,2.0,2.0,88.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1224.0,2.0,2.0,75.0
Plot  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,Unknown,650.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1676.0,3.0,2.0,92.13
Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,PrinePr,1154.0,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Hahtsya,1610.0,3.0,3.0,78.5
Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,1057.0,2.0,1.0,42.0
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157.0,2.0,1.0,65.0
Plot  Area,18-May,Doddagubbi,4 Bedroom,Unknown,1200.0,4.0,1.0,85.0
Plot  Area,Ready To Move,Dasappa Layout,7 Bedroom,Unknown,1500.0,4.5,3.0,130.0
Super built-up  Area,Ready To Move,Gulimangala,2 BHK,Daxir E,980.0,2.0,3.0,35.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Vaine S,1140.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1206.0,2.0,1.0,40.7
Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,Unknown,575.0,1.0,1.0,16.75
Super built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1600.0,3.0,1.0,170.0
Plot  Area,Ready To Move,1st Stage Indira Nagar,4 Bedroom,Unknown,2400.0,4.0,1.0,225.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,Unknown,1300.0,2.0,2.0,52.0
Super built-up  Area,18-Dec,Tunganagara,3 BHK,DSdidSp,1270.0,2.0,1.0,35.56
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,63.5
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,640.0,1.0,1.0,45.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,Unknown,2400.0,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589.0,1.0,1.0,29.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Unknown,1125.0,2.0,1.0,28.13
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Viuliap,1315.0,2.0,3.0,74.0
